entry_ai,entry_ts,entry,exit_ts,exit,regime,regime_market,type,strat,score,adx,rsi,atr_pct,xgb,pnl_net,hold_bars,reason,bt83_a_plus,bt83_size_mult
4174,2023-04-27 17:00:00,38805000.0,2023-05-08 17:00:00,37459000.0,Volatile,Volatile,trend,P0,3.97,27.8,60.5,98.0,0.727,-0.03768625177167891,66,트레일링,False,1.0
4243,2023-05-09 05:00:00,37255000.0,2023-05-12 09:00:00,35952000.0,Range,Range,leading_signal,P0,4.07,24.0,32.8,35.0,0.639,-0.037975171117970746,19,ATR손절,False,1.0
4367,2023-05-29 21:00:00,36914000.0,2023-06-01 09:00:00,35890000.0,Trend_Up,Trend_Up,pyramid,P2,4.97,32.2,62.9,67.0,0.562,-0.030740152787560274,15,ATR손절,False,1.0
4468,2023-06-15 17:00:00,32754000.0,2023-07-10 13:00:00,39785000.0,Range,Range,leading_signal,P0,3.37,21.0,24.4,43.0,0.718,0.21166080478720156,149,트레일링,False,1.0
4758,2023-08-03 01:00:00,38429000.0,2023-08-17 21:00:00,38052000.0,Volatile,Volatile,trend,P0,4.77,20.6,58.2,98.0,0.47,-0.012810299513388326,89,트레일링,False,1.0
4923,2023-08-30 13:00:00,37234000.0,2023-09-01 01:00:00,35939000.0,Trend_Up,Trend_Up,pyramid,P2,5.07,28.9,69.2,87.0,0.51,-0.03778003974861686,9,ATR손절,False,1.0
5014,2023-09-14 17:00:00,35799000.0,2023-09-25 17:00:00,35239000.0,Range,Range,pyramid,P2,5.07,20.8,62.4,66.0,0.42,-0.02794140804661323,66,계단손절,False,1.0
5101,2023-09-29 05:00:00,36596000.0,2023-10-04 01:00:00,37109000.0,Trend_Up,Trend_Up,pyramid,P2,5.07,39.3,63.6,59.0,0.506,0.0013505502760424882,29,계단손절,False,1.0
5142,2023-10-06 01:00:00,37356000.0,2023-10-11 09:00:00,36774000.0,Range,Range,pyramid,P2,5.27,22.2,50.5,91.0,0.542,-0.0241639936252342,32,계단손절,False,1.0
5176,2023-10-11 17:00:00,37037000.0,2023-11-04 01:00:00,46406000.0,Range,Range,pyramid,P2,5.27,24.2,39.0,59.0,0.5,0.2349324419805087,140,계단손절,False,1.0
5327,2023-11-05 21:00:00,46870000.0,2023-11-15 01:00:00,47679000.0,Range,Range,pyramid,P2,5.27,17.0,48.6,47.0,0.423,0.0005690432469337803,55,계단손절,False,1.0
5388,2023-11-16 01:00:00,49910000.0,2023-12-11 09:00:00,58357000.0,Volatile,Volatile,trend,P0,3.97,28.0,60.2,99.0,0.766,0.16624464035263473,151,트레일링,False,1.0
5556,2023-12-14 05:00:00,59056000.0,2023-12-18 09:00:00,56091000.0,Volatile,Volatile,trend,P0,3.97,31.6,57.3,97.0,0.452,-0.05320658358168518,25,ATR손절,False,1.0
5583,2023-12-18 17:00:00,56142000.0,2023-12-26 21:00:00,56859000.0,Range,Range,leading_signal,P0,4.07,24.8,32.3,54.0,0.748,0.0097711873463717,49,트레일링,False,1.0
5647,2023-12-29 09:00:00,56971000.0,2024-01-03 17:00:00,58300000.0,Range,Range,leading_signal,P0,3.27,19.8,41.5,29.0,0.437,0.02032765793122817,32,트레일링,False,1.0
5686,2024-01-04 21:00:00,59220000.0,2024-01-13 01:00:00,60190000.0,Volatile,Volatile,trend,P0,3.97,38.3,55.6,100.0,0.63,0.013379601485984466,49,트레일링,False,1.0
5829,2024-01-28 17:00:00,58481000.0,2024-03-06 01:00:00,91036000.0,Trend_Up,Trend_Up,pyramid,P2,5.77,35.7,69.9,10.0,0.638,0.5173342565310938,224,트레일링,False,1.0
6057,2024-03-06 17:00:00,94372000.0,2024-03-15 09:00:00,99100000.0,Volatile,Volatile,trend,P0,4.77,38.2,62.1,99.0,0.743,0.04709960581528419,52,트레일링,False,1.0
6121,2024-03-17 09:00:00,97299000.0,2024-04-02 09:00:00,96999000.0,Range,Range,pyramid,P2,5.27,21.0,40.5,89.0,0.523,-0.028104814085316537,96,계단손절,False,1.0
6248,2024-04-07 13:00:00,99522000.0,2024-04-14 05:00:00,97149000.0,Range,Range,pyramid,P2,5.77,23.5,58.9,21.0,0.692,-0.038442485719656014,40,계단손절,False,1.0
6354,2024-04-25 05:00:00,93534000.0,2024-04-27 17:00:00,90464000.0,Range,Range,leading_signal,P0,4.07,17.8,38.6,21.0,0.854,-0.03582228922103193,15,ATR손절,False,1.0
