entry_ai,entry_ts,entry,exit_ts,exit,regime,regime_market,type,strat,score,adx,rsi,atr_pct,bt85_ema21_dist,bt85_high20_dist,bt85_entry_atr,mfe,pnl_net,hold_bars,reason
4243,2023-05-09 05:00:00,37255000.0,2023-05-12 09:00:00,35952000.0,Range,Range,leading_signal,P0,4.07,24.0,32.8,35.0,-0.021811815309740707,-0.055280841891720556,445555.42616073403,0.014038384109515502,-0.037975171117970746,19,ATR손절
4302,2023-05-19 01:00:00,36175000.0,2023-05-25 09:00:00,35130000.0,Range,Range,leading_signal,P0,4.07,13.5,41.2,19.0,-0.009779468891529553,-0.027553763440860215,371041.93214957457,0.011416724257083621,-0.03188735314443677,38,ATR손절
4367,2023-05-29 21:00:00,36914000.0,2023-06-01 09:00:00,35890000.0,Trend_Up,Trend_Up,pyramid,P2,4.97,32.2,62.9,67.0,0.012680377380320048,-0.025578755642372566,369140.0,0.012190496830470824,-0.030740152787560274,15,ATR손절
4468,2023-06-15 17:00:00,32754000.0,2023-07-10 13:00:00,39785000.0,Range,Range,leading_signal,P0,3.37,21.0,24.4,43.0,-0.027749397536925187,-0.05003045331941182,332911.6763895084,0.2584722476644074,0.21166080478720156,149,트레일링
4758,2023-08-03 01:00:00,38429000.0,2023-08-17 21:00:00,38052000.0,Volatile,Volatile,trend,P0,4.77,20.6,58.2,98.0,0.0059437024319722535,-0.01793974087040965,384290.0,0.028910458247677535,-0.012810299513388326,89,트레일링
4923,2023-08-30 13:00:00,37234000.0,2023-09-01 01:00:00,35939000.0,Trend_Up,Trend_Up,pyramid,P2,5.07,28.9,69.2,87.0,0.031927552724068886,-0.018401349783823684,397380.2562384031,0.0,-0.03778003974861686,9,ATR손절
5016,2023-09-15 01:00:00,36090000.0,2023-09-25 05:00:00,35534000.0,Range,Range,pyramid,P2,5.07,24.3,66.8,76.0,0.01735633123067402,-0.006058936931974662,371601.8223258667,0.01828761429758936,-0.02448935194153012,61,계단손절
5101,2023-09-29 05:00:00,36596000.0,2023-10-04 01:00:00,37109000.0,Trend_Up,Trend_Up,pyramid,P2,5.07,39.3,63.6,59.0,0.014669590644107626,-0.010892186275304737,365960.0,0.04899442562028637,0.0013505502760426903,29,계단손절
5142,2023-10-06 01:00:00,37356000.0,2023-10-11 09:00:00,36774000.0,Range,Range,pyramid,P2,5.27,22.2,50.5,91.0,-0.0010725044504946602,-0.035227272727272725,373560.0,0.01988970981903844,-0.0241639936252342,32,계단손절
5176,2023-10-11 17:00:00,37037000.0,2023-11-04 01:00:00,46406000.0,Range,Range,pyramid,P2,5.27,24.2,39.0,59.0,-0.010606767498011331,-0.0279002624671916,370370.0,0.3045063045063045,0.2349324419805087,140,계단손절
5327,2023-11-05 21:00:00,46870000.0,2023-11-15 01:00:00,47679000.0,Range,Range,pyramid,P2,5.27,17.0,48.6,47.0,-0.0024797556081400324,-0.0242734615704888,475473.7160055999,0.06742052485598464,0.0005923379310041874,55,계단손절
5388,2023-11-16 01:00:00,49910000.0,2023-12-11 09:00:00,58357000.0,Volatile,Volatile,trend,P0,3.97,28.0,60.2,99.0,0.022932301118997266,-0.005222036195487523,673718.6398542182,0.2186736125025045,0.16624464035263473,151,트레일링
5555,2023-12-14 01:00:00,59047000.0,2023-12-18 09:00:00,56091000.0,Volatile,Volatile,trend,P0,3.47,32.8,57.2,95.0,0.01828151008413027,-0.018043637331204683,1002383.3982745766,0.004454078954053551,-0.05306181516419124,26,ATR손절
5583,2023-12-18 17:00:00,56142000.0,2023-12-26 21:00:00,56859000.0,Range,Range,leading_signal,P0,4.07,24.8,32.3,54.0,-0.02203518522564244,-0.04800501924609567,800711.3867999302,0.06647429731751629,0.0097711873463717,49,트레일링
5647,2023-12-29 09:00:00,56971000.0,2024-01-03 17:00:00,58300000.0,Range,Range,leading_signal,P0,3.27,19.8,41.5,29.0,-0.007592132032001972,-0.025603749059314496,623131.9675186548,0.06290919941724737,0.02032765793122817,32,트레일링
5680,2024-01-03 21:00:00,58596000.0,2024-01-13 01:00:00,60190000.0,Volatile,Volatile,trend,P0,4.77,42.5,49.7,100.0,-0.004354113245856739,-0.03936259160286572,1017365.6152065985,0.09688374633080757,0.024203222062939452,55,트레일링
5827,2024-01-28 09:00:00,58095000.0,2024-03-06 01:00:00,91036000.0,Trend_Up,Trend_Up,pyramid,P2,4.97,33.5,66.9,10.0,0.02133384625158249,-0.0016154255959030057,650186.7275751194,0.663155176865479,0.5285127986607637,226,트레일링
6057,2024-03-06 17:00:00,94372000.0,2024-03-15 09:00:00,99100000.0,Volatile,Volatile,trend,P0,4.77,38.2,62.1,99.0,0.03558787967927562,-0.02709278350515464,2697444.341630545,0.11003263679905056,0.04709960581528419,52,트레일링
6116,2024-03-16 13:00:00,100317000.0,2024-03-19 17:00:00,93451000.0,Range,Range,pyramid,P2,5.27,21.0,49.4,88.0,-0.0031743071875962596,-0.0446,2386086.038590352,0.0,-0.07144303557722022,19,ATR손절
6174,2024-03-26 05:00:00,99202000.0,2024-04-14 05:00:00,97149000.0,Range,Range,pyramid,P2,5.77,22.4,64.3,39.0,0.030474823485301342,-0.01291542288557214,1676988.697312797,0.03374931957016996,-0.036258949972612614,114,계단손절
