entry_ai,entry_ts,entry,exit_ts,exit,regime,regime_market,type,strat,score,adx,rsi,atr_pct,bt85_ema21_dist,bt85_high20_dist,bt85_entry_atr,mfe,pnl_net,hold_bars,reason
3912,2023-03-15 01:00:00,32904000.0,2023-03-23 01:00:00,35683000.0,Volatile,Volatile,trend,P0,4.77,44.2,69.8,100.0,0.0788668963797123,-0.045403115843221445,918871.5373688733,0.1547836129345976,0.08145781667882324,48,트레일링
3965,2023-03-23 21:00:00,37339000.0,2023-04-20 05:00:00,38300000.0,Trend_Up,Trend_Up,pyramid,P2,4.97,27.5,56.7,85.0,0.017085726672149703,-0.027630208333333333,802124.3979043053,0.07608666541685637,0.010491516788129804,164,계단손절
4174,2023-04-27 17:00:00,38805000.0,2023-05-08 17:00:00,37459000.0,Volatile,Volatile,trend,P0,3.97,27.8,60.5,98.0,0.02622985527737651,-0.026223337515683814,774402.0595938131,0.01870892926169308,-0.03768625177167891,66,트레일링
4243,2023-05-09 05:00:00,37255000.0,2023-05-12 09:00:00,35952000.0,Range,Range,leading_signal,P0,4.07,24.0,32.8,35.0,-0.021811815309740707,-0.055280841891720556,445555.42616073403,0.014038384109515502,-0.037975171117970746,19,ATR손절
4302,2023-05-19 01:00:00,36175000.0,2023-05-25 09:00:00,35130000.0,Range,Range,leading_signal,P0,4.07,13.5,41.2,19.0,-0.009779468891529553,-0.027553763440860215,371041.93214957457,0.011416724257083621,-0.03188735314443677,38,ATR손절
4367,2023-05-29 21:00:00,36914000.0,2023-06-01 09:00:00,35890000.0,Trend_Up,Trend_Up,pyramid,P2,4.97,32.2,62.9,67.0,0.012680377380320048,-0.025578755642372566,369140.0,0.012190496830470824,-0.030740152787560274,15,ATR손절
4468,2023-06-15 17:00:00,32754000.0,2023-07-10 13:00:00,39785000.0,Range,Range,leading_signal,P0,3.37,21.0,24.4,43.0,-0.027749397536925187,-0.05003045331941182,332911.6763895084,0.2584722476644074,0.21166080478720156,149,트레일링
4845,2023-08-17 13:00:00,38850000.0,2023-08-18 05:00:00,36588000.0,Range,Range,pyramid,P2,5.27,21.9,35.0,57.0,-0.010389852881170903,-0.02062115559140869,388500.0,0.0,-0.06122393822393823,4,ATR손절
4924,2023-08-30 17:00:00,37055000.0,2023-09-01 01:00:00,35939000.0,Trend_Up,Trend_Up,pyramid,P2,4.27,30.9,65.6,83.0,0.024455165197272033,-0.023120320573658124,389710.23793566,0.00442585346107138,-0.03311739306436379,8,ATR손절
5126,2023-10-03 09:00:00,37673000.0,2023-10-11 21:00:00,36588000.0,Volatile,Volatile,trend,P0,4.07,47.9,59.8,100.0,0.010121033166875359,-0.027040289256198346,387326.28926659265,0.011307833196188251,-0.0318004671780851,51,ATR손절
5210,2023-10-17 09:00:00,38399000.0,2023-11-03 17:00:00,46468000.0,Volatile,Volatile,trend,P0,4.77,36.5,69.9,98.0,0.022842515884230866,-0.056535626535626535,505652.65051399963,0.258235891559676,0.20713568061668272,104,트레일링
5327,2023-11-05 21:00:00,46870000.0,2023-11-15 01:00:00,47679000.0,Range,Range,pyramid,P2,5.27,17.0,48.6,47.0,-0.0024797556081400324,-0.0242734615704888,475473.7160055999,0.06742052485598464,0.0005923379310043449,55,계단손절
5393,2023-11-16 21:00:00,49102000.0,2023-12-11 09:00:00,58357000.0,Volatile,Volatile,trend,P0,4.27,24.9,49.7,100.0,-0.0018405337148680947,-0.030600963436784333,700307.8552600708,0.23872754673944035,0.18548519408578062,146,트레일링
5557,2023-12-14 09:00:00,58729000.0,2023-12-18 09:00:00,56091000.0,Trend_Up,Trend_Up,pyramid,P2,5.27,30.1,54.4,94.0,0.010083312989565489,-0.02188431624002798,1002453.0321857319,0.009892897886904254,-0.04791818352091812,24,ATR손절
5583,2023-12-18 17:00:00,56142000.0,2023-12-26 21:00:00,56859000.0,Range,Range,leading_signal,P0,4.07,24.8,32.3,54.0,-0.02203518522564244,-0.04800501924609567,800711.3867999302,0.06647429731751629,0.0097711873463717,49,트레일링
5647,2023-12-29 09:00:00,56971000.0,2024-01-03 17:00:00,58300000.0,Range,Range,leading_signal,P0,3.27,19.8,41.5,29.0,-0.007592132032001972,-0.025603749059314496,623131.9675186548,0.06290919941724737,0.02032765793122817,32,트레일링
5680,2024-01-03 21:00:00,58596000.0,2024-01-13 01:00:00,60190000.0,Volatile,Volatile,trend,P0,4.77,42.5,49.7,100.0,-0.004354113245856739,-0.03936259160286572,1017365.6152065985,0.09688374633080757,0.024203222062939452,55,트레일링
5831,2024-01-29 01:00:00,57576000.0,2024-03-06 01:00:00,91036000.0,Trend_Up,Trend_Up,pyramid,P2,4.97,34.7,55.9,10.0,0.0052765065857111005,-0.022146739130434783,629566.6942490885,0.6781471446436015,0.5669638195903121,222,트레일링
6057,2024-03-06 17:00:00,94372000.0,2024-03-15 09:00:00,99100000.0,Volatile,Volatile,trend,P0,4.77,38.2,62.1,99.0,0.03558787967927562,-0.02709278350515464,2697444.341630545,0.11003263679905056,0.04709960581528419,52,트레일링
6116,2024-03-16 13:00:00,100317000.0,2024-03-19 17:00:00,93451000.0,Range,Range,pyramid,P2,5.27,21.0,49.4,88.0,-0.0031743071875962596,-0.0446,2386086.038590352,0.0,-0.07144303557722022,19,ATR손절
6184,2024-03-27 21:00:00,99146000.0,2024-04-02 09:00:00,96999000.0,Trend_Up,Trend_Up,pyramid,P2,5.27,28.2,55.6,24.0,0.006674294294632307,-0.027026496565260058,1549509.8378856461,0.02361164343493434,-0.03375425940540821,33,계단손절
6261,2024-04-09 17:00:00,100695000.0,2024-04-14 05:00:00,97149000.0,Trend_Up,Trend_Up,pyramid,P2,5.77,35.3,55.8,47.0,0.0052045073841556055,-0.023175274533390244,1196179.936914643,0.005918863895923333,-0.0382152539848056,27,ATR손절
